Sample	kallisto-percent_aligned	kallisto-pseudoaligned_reads	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8668755_10K_subsample	54.190000000000005	0.005418999999999999	12.989999999999995	50.0	74.4869	75	10.0	0.01
SRR8668756_10K_subsample	69.83	0.006983	6.810000000000002	48.0	74.3183	75	10.0	0.01
SRR8668757_10K_subsample	49.39	0.004939	8.219999999999999	47.0	74.4711	75	10.0	0.01
SRR8668758_10K_subsample	63.29	0.0063289999999999996	7.829999999999998	49.0	72.7371	75	10.0	0.01
SRR8668759_10K_subsample	48.69	0.004869	20.909999999999997	57.0	72.7883	75	30.0	0.01
SRR8668769_10K_subsample	68.13	0.006813	12.25	53.0	74.4802	75	20.0	0.01
SRR8668771_10K_subsample	53.03	0.0053029999999999996	13.510000000000005	52.0	74.5171	75	20.0	0.01
SRR8668772_10K_subsample	55.279999999999994	0.005528	11.579999999999998	50.0	74.479	75	20.0	0.01
SRR8668773_10K_subsample	65.45	0.006545	8.840000000000003	50.0	74.4618	75	20.0	0.01
SRR8668774_10K_subsample	59.18	0.005918	8.829999999999998	49.0	73.8314	75	20.0	0.01
