Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR8668755_10K_subsample	10000.0	5419.0	4581.0	54.190000000000005
SRR8668756_10K_subsample	10000.0	6983.0	3017.0	69.83
SRR8668757_10K_subsample	10000.0	4939.0	5061.0	49.39
SRR8668758_10K_subsample	10000.0	6329.0	3671.0	63.29
SRR8668759_10K_subsample	10000.0	4869.0	5131.0	48.69
SRR8668769_10K_subsample	10000.0	6813.0	3187.0	68.13
SRR8668771_10K_subsample	10000.0	5303.0	4697.0	53.03
SRR8668772_10K_subsample	10000.0	5528.0	4472.0	55.279999999999994
SRR8668773_10K_subsample	10000.0	6545.0	3455.0	65.45
SRR8668774_10K_subsample	10000.0	5918.0	4082.0	59.18
